Configuration,Mean Error,Median Error,Max Error,P95 Error,Std Dev
1.0,1.9135757438,1.7272991234,5.08000470773,4.02670510184,1.11195888534
2.0,1.53122809601,1.36323333597,4.92371829908,3.30368108995,0.919497940442
3.0,1.35521576378,1.18857562093,4.82621793142,3.14136966,0.96442135209
4.0,1.37268885739,1.19065551069,4.50788005445,3.28840611612,0.955295865602
5.0,1.32511060374,1.17274203776,4.40191836626,3.31373958028,0.975950627932
6.0,1.32079956229,1.06783265939,4.48652232331,3.18958869646,1.00201272202
7.0,1.26473983115,1.02819271865,4.49857731936,3.23909635965,0.975158970521
8.0,1.24668188999,1.04642117283,4.23372293471,3.1511951888,0.971178818444
9.0,1.27040094144,0.979107744425,4.21554700691,3.04786461367,0.93388602338
10.0,1.32415876951,1.08871979728,4.49195291881,3.25119172461,0.972908798022
