model,median,p95,max,mean,n
gaussian_process,0.046,0.139,1.747,0.064,795
poly3_cbrt,0.14,0.341,1.653,0.166,795
poly3_de00_nm,0.231,0.861,6.564,0.352,795
poly3,0.238,0.855,7.838,0.361,795
poly3_de00_powell,0.249,0.72,5.391,0.338,795
svm,0.693,1.831,5.466,0.834,795
gradient_boost,0.801,2.6,11.474,1.056,795
mlp_deep,1.132,3.767,22.84,1.473,795
mlp_shallow,1.137,4.02,9.511,1.536,795
random_forest,1.71,4.181,10.425,1.978,795
knn,1.923,4.087,15.36,2.124,795
decision_tree,4.327,9.04,15.703,4.712,795
elastic,6.143,23.591,45.294,8.48,795
ridge,6.148,23.799,45.213,8.508,795
pcr,6.148,23.799,45.213,8.508,795
lasso,6.151,23.682,45.374,8.459,795
plsr,6.161,23.939,45.211,8.52,795
